,precision,recall,f1-score,support
<=50K,0.9473889321901793,0.7702788339670469,0.8497029010835372,9468.0
>50K,0.46638861629048084,0.8243712055507372,0.5957380131620181,2306.0
accuracy,0.7808731102429081,0.7808731102429081,0.7808731102429081,0.7808731102429081
macro avg,0.70688877424033,0.797325019758892,0.7227204571227777,11774.0
weighted avg,0.853182483365251,0.7808731102429081,0.7999625382886482,11774.0
